"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"1","abetarius","abetarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Building","Wood worker","a joiner, wood worker","abetarius"
"2","abetarius","abietarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Building","Wood worker","a joiner, wood worker","abietarius"
"3","acceptor","acceptor","oris",NA,"acceptor","male","Waltzing - Rome",3,31,"Finance",NA,"collector, gold quality checker","acceptor"
"4","acceptor","aceptor","oris",NA,NA,"male","Petrikovits 1981a",3,31,"Finance",NA,"collector, gold quality checker","aceptor"
"5","acuarius","acuarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"manufacturer or seller of needles","acuarius"
"6","acuarius","acuclarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"manufacturer or seller of needles","acuclarius"
"7","acucularius","acucularius","i",NA,NA,"male","Petrikovits 1981b",8,83,"Metal-Working",NA,"manufacturer or seller of a small pin for a head-dress","acucularius"
"8","aedifex","aedifex","icis",NA,NA,"male","Petrikovits 1981a",0,2,"Building",NA,"builder","aedifex"
"9","aedifex","aedificator","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Building",NA,"builder, architect","aedificator"
"10","aeneator","aeneator","oris",NA,"aeneator","male","Waltzing - Rome",1,17,"Performing Arts",NA,"musician, one who blows a horn in war
","aeneator"
"11","aequator monetae","aequator monetae","oris",NA,"aequator","male","Petrikovits 1981a",3,31,"Finance",NA,"one who, in the coining of money, examines the equality of its weight, an assizer","aequator monetae"
"12","aerarius","aerarius","i",NA,"aerarius","male","Waltzing - Rome",8,83,"Metal-Working",NA,"metal worker","aerarius"
"13","agricola","agricola","ae",NA,"agricola","male","Petra's addition",6,62,"Food-Production",NA,"a husbandman, agriculturist, ploughman, farmer, peasant","agricola"
"14","agrimensor","agrimensor","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"a landsurveyor","agrimensor"
"15","agrimensor","agrimesor","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"a landsurveyor","agrimesor"
"16","albarius","albarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"worker in stucco, a plasterer","albarius"
"17","aluminarius","aluminarius","i",NA,NA,"male","Petrikovits 1981a",7,71,"Fuel / Raw material",NA,"worker or seller or alum (mineral)","aluminarius"
"18","ampullarius","ampullarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"manufacturer of ampullae (small vessels from glass and leather)","ampullarius"
"19","anabolicarius","anabolicarius","i",NA,"anabolicarius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","one day sailor","anabolicarius"
"20","anaglyptarius","anaglitarius","i",NA,NA,"male","Petrikovits 1981b",1,16,"Plastic Arts",NA,"relief maker, carver","anaglitarius"
"21","anaglyptarius","anaglypharius","i",NA,NA,"male","Petrikovits 1981b",1,16,"Plastic Arts",NA,"relief maker, carver","anaglypharius"
"22","anaglyptarius","anaglyptarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"relief maker, carver","anaglyptarius"
"23","anellarius","anellarius","i",NA,NA,"male","Petrikovits 1981b",8,88,"Metal-Working",NA,"ring maker","anellarius"
"24","anellarius","annellarius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"ring maker","annellarius"
"25","anellarius","anularius","i",NA,"anularius","male","Waltzing - Rome",8,88,"Metal-Working",NA,"maker of rings","anularius"
"26","annonarius","annonarius","i",NA,"annonarius","male","Waltzing - provinces",3,30,"Managerial",NA,"of or pertaining to provisions","annonarius"
"27","apparator","apparator","oris",NA,"apparator","male","Waltzing - Rome",9,99,"Miscellaneous Services",NA,"one that prepares","apparator"
"28","aquarius","aquarius","i",NA,"aquarius","male","Waltzing - provinces",9,95,"Water-Management",NA,"fountain worker, of water, watery, water carrier","aquarius"
"29","archimagirus","archimagirus","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"chef","archimagirus"
"30","architectus","architecton","nis",NA,NA,"male","Petrikovits 1981a",0,2,"Building",NA,"a masterbuilder, architect","architecton"
"31","architectus","architectus","i",NA,NA,"male","Petrikovits 1981a",0,2,"Building",NA,"a master-builder, architect","architectus"
"32","arcuarius","arcarius","i",NA,NA,"male","Petrikovits 1981a",3,31,"Finance",NA,"treasurer, a controller of public revenues","arcarius"
"33","arcuarius","arcuarius","i",NA,NA,"male","Petrikovits 1981a",3,31,"Finance",NA,"treasurer, a controller of public revenues","arcuarius"
"34","argentarius","argentarius","i",NA,"argentarius","male","Waltzing - Rome",8,88,"Metal-Working",NA,"jewellery maker, banker","argentarius"
"35","armamentarius","armamentarius","i",NA,NA,"male","Petrikovits 1981a",5,58,"Miscellaneous Services","Military","an arsenal provider, armory keeper","armamentarius"
"36","armamentarius","armamintarius","i",NA,NA,"male","Petrikovits 1981a",5,58,"Miscellaneous Services","Military","an arsenal provider, armory keeper","armamintarius"
"37","armariarius","armariarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"cabinet maker","armariarius"
"38","aromatarius","aromatarius","i",NA,"aromatarius","male","Waltzing - Rome",4,43,"Retail",NA,"seller of perfumes, spices","aromatarius"
"39","artifex","artefex","icis",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"One that is master in the liberal arts,an artist, artificer","artefex"
"40","artifex","artifex","icis",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"One that is master in the liberal arts,an artist, artificer","artifex"
