nominative_original	nominative_stripped	translation	category	hisco_code	all_forms	form_count
ἀγαλματοποιός	αγαλματοποιος	Statue maker	Stonework	16120	αγαλματοποιε|αγαλματοποιοι|αγαλματοποιοις|αγαλματοποιον|αγαλματοποιος|αγαλματοποιου|αγαλματοποιους|αγαλματοποιω|αγαλματοποιων	9
ἀγγειουργός	αγγειουργος	Jar maker	Ceramics	89120	αγγειουργε|αγγειουργοι|αγγειουργοις|αγγειουργον|αγγειουργος|αγγειουργου|αγγειουργους|αγγειουργω|αγγειουργων	9
ἀγκιστροπώλης	αγκιστροπωλης	Seller of fish hooks	Tools	45190	αγκιστροπωλα|αγκιστροπωλαι|αγκιστροπωλαις|αγκιστροπωλας|αγκιστροπωλη|αγκιστροπωληα|αγκιστροπωληη|αγκιστροπωλην|αγκιστροπωληου|αγκιστροπωλης|αγκιστροπωληω|αγκιστροπωλων	12
αἴπολος	αιπολος	Goatherd	Agriculture, Animal Husbandry	61110	αιπολε|αιπολοι|αιπολοις|αιπολον|αιπολος|αιπολου|αιπολους|αιπολω|αιπολων	9
ἀκέστρια	ακεστρια	Seamstress	Textiles	79120	ακεστρα|ακεστραι|ακεστραις|ακεστραν|ακεστρας|ακεστρη|ακεστρην|ακεστρης|ακεστρων	9
ἀλεκτρυοπώλης	αλεκτρυοπωλης	Poulterer	Agriculture, Animal Husbandry	62210	αλεκτρυοπωλα|αλεκτρυοπωλαι|αλεκτρυοπωλαις|αλεκτρυοπωλας|αλεκτρυοπωλη|αλεκτρυοπωληα|αλεκτρυοπωληη|αλεκτρυοπωλην|αλεκτρυοπωληου|αλεκτρυοπωλης|αλεκτρυοπωληω|αλεκτρυοπωλων	12
ἁλιεύς	αλιευς	Fisherman	Seafaring/Maritime	64110	αλιεα|αλιεας|αλιει|αλιεις|αλιευ|αλιευς|αλιευσι|αλιεων|αλιεως	9
ἀλλαντοπώλης	αλλαντοπωλης	Sausage Seller	Food Preparation and Retail	45190	αλλαντοπωλα|αλλαντοπωλαι|αλλαντοπωλαις|αλλαντοπωλας|αλλαντοπωλη|αλλαντοπωληα|αλλαντοπωληη|αλλαντοπωλην|αλλαντοπωληου|αλλαντοπωλης|αλλαντοπωληω|αλλαντοπωλων	12
ἁλουργοπώλης	αλουργοπωλης	Dealer in purple dye	Textiles	75130	αλουργοπωλα|αλουργοπωλαι|αλουργοπωλαις|αλουργοπωλας|αλουργοπωλη|αλουργοπωληα|αλουργοπωληη|αλουργοπωλην|αλουργοπωληου|αλουργοπωλης|αλουργοπωληω|αλουργοπωλων	12
ἁμαξουργός	αμαξουργος	Cartwright	Woodwork	73210	αμαξουργε|αμαξουργοι|αμαξουργοις|αμαξουργον|αμαξουργος|αμαξουργου|αμαξουργους|αμαξουργω|αμαξουργων	9
ἀμόργινος	αμοργινος	Amorgan-technique linen worker	Textiles	75130	αμοργινε|αμοργινοι|αμοργινοις|αμοργινον|αμοργινος|αμοργινου|αμοργινους|αμοργινω|αμοργινων	9
ἀμπελουργός	αμπελουργος	Vine Dresser	Agriculture, Animal Husbandry	61110	αμπελουργε|αμπελουργοι|αμπελουργοις|αμπελουργον|αμπελουργος|αμπελουργου|αμπελουργους|αμπελουργω|αμπελουργων	9
ἀμφορεαφόρος	αμφορεαφορος	Amphora-bearer	Transport	98310	αμφορεαφορε|αμφορεαφοροι|αμφορεαφοροις|αμφορεαφορον|αμφορεαφορος|αμφορεαφορου|αμφορεαφορους|αμφορεαφορω|αμφορεαφορων	9
ἀνδραποδοκάπηλος	ανδραποδοκαπηλος	Slave dealer	Miscellaneous Retail	49190	ανδραποδοκαπηλε|ανδραποδοκαπηλοι|ανδραποδοκαπηλοις|ανδραποδοκαπηλον|ανδραποδοκαπηλος|ανδραποδοκαπηλου|ανδραποδοκαπηλους|ανδραποδοκαπηλω|ανδραποδοκαπηλων	9
ἀνδραποδώνης	ανδραποδωνης	Slave dealer	Miscellaneous Retail	49190	ανδραποδωνα|ανδραποδωναι|ανδραποδωναις|ανδραποδωνας|ανδραποδωνη|ανδραποδωνηα|ανδραποδωνηη|ανδραποδωνην|ανδραποδωνηου|ανδραποδωνης|ανδραποδωνηω|ανδραποδωνων	12
ἀνδριαντοποιός	ανδριαντοποιος	Statue maker	Stonework	16120	ανδριαντοποιε|ανδριαντοποιοι|ανδριαντοποιοις|ανδριαντοποιον|ανδριαντοποιος|ανδριαντοποιου|ανδριαντοποιους|ανδριαντοποιω|ανδριαντοποιων	9
ἀνθρακεύς	ανθρακευς	Charcoal maker	Fuel and Raw Materials	71120	ανθρακεα|ανθρακεας|ανθρακει|ανθρακεις|ανθρακευ|ανθρακευς|ανθρακευσι|ανθρακεων|ανθρακεως	9
ἀνθρακοπώλης	ανθρακοπωλης	Charcoal dealer	Fuel and Raw Materials	71120	ανθρακοπωλα|ανθρακοπωλαι|ανθρακοπωλαις|ανθρακοπωλας|ανθρακοπωλη|ανθρακοπωληα|ανθρακοπωληη|ανθρακοπωλην|ανθρακοπωληου|ανθρακοπωλης|ανθρακοπωληω|ανθρακοπωλων	12
ἀργυρογνώμων	αργυρογνωμων	Assayer of silver	Metalwork	72110	αργυρογνωμον|αργυρογνωμονα|αργυρογνωμονας|αργυρογνωμονες|αργυρογνωμονι|αργυρογνωμονος|αργυρογνωμονων|αργυρογνωμοσι|αργυρογνωμων	9
ἀργυροκοπεῖον	αργυροκοπειον	Silversmith (shop)	Metalwork	72110	αργυροκοπεια|αργυροκοπειοις|αργυροκοπειον|αργυροκοπειου|αργυροκοπειω|αργυροκοπειων	6
ἀργυροκόπος	αργυροκοπος	Coin minter	Metalwork	72110	αργυροκοπε|αργυροκοποι|αργυροκοποις|αργυροκοπον|αργυροκοπος|αργυροκοπου|αργυροκοπους|αργυροκοπω|αργυροκοπων	9
ἁρματοπηγός	αρματοπηγος	Chariot maker	Woodwork	73210	αρματοπηγε|αρματοπηγοι|αρματοπηγοις|αρματοπηγον|αρματοπηγος|αρματοπηγου|αρματοπηγους|αρματοπηγω|αρματοπηγων	9
ἀρτοκόπος	αρτοκοπος	Baker	Food Preparation and Retail	53120	αρτοκοπε|αρτοκοποι|αρτοκοποις|αρτοκοπον|αρτοκοπος|αρτοκοπου|αρτοκοπους|αρτοκοπω|αρτοκοπων	9
ἀρτοποιός	αρτοποιος	Baker	Food Preparation and Retail	53120	αρτοποιε|αρτοποιοι|αρτοποιοις|αρτοποιον|αρτοποιος|αρτοποιου|αρτοποιους|αρτοποιω|αρτοποιων	9
ἀρτοπώλης	αρτοπωλης	Bread Seller	Food Preparation and Retail	51190	αρτοπωλα|αρτοπωλαι|αρτοπωλαις|αρτοπωλας|αρτοπωλη|αρτοπωληα|αρτοπωληη|αρτοπωλην|αρτοπωληου|αρτοπωλης|αρτοπωληω|αρτοπωλων	12
ἀρτόπωλις	αρτοπωλις	Bread Seller	Food Preparation and Retail	51190	αρτοπωλαι|αρτοπωλαις|αρτοπωλας|αρτοπωλη|αρτοπωλην|αρτοπωλης|αρτοπωλων	7
ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτον|αρχιτεκτονα|αρχιτεκτονας|αρχιτεκτονες|αρχιτεκτονι|αρχιτεκτονος|αρχιτεκτονων|αρχιτεκτοσι|αρχιτεκτων	9
ἀσκοποιός	ασκοποιος	Wineskin maker	Leatherwork and Footwear	80110	ασκοποιε|ασκοποιοι|ασκοποιοις|ασκοποιον|ασκοποιος|ασκοποιου|ασκοποιους|ασκοποιω|ασκοποιων	9
ἀσκοπώλης	ασκοπωλης	Wineskin maker	Leatherwork and Footwear	80110	ασκοπωλα|ασκοπωλαι|ασκοπωλαις|ασκοπωλας|ασκοπωλη|ασκοπωληα|ασκοπωληη|ασκοπωλην|ασκοπωληου|ασκοπωλης|ασκοπωληω|ασκοπωλων	12
ἀσκοφόρος	ασκοφορος	Wineskin maker	Leatherwork and Footwear	80110	ασκοφορε|ασκοφοροι|ασκοφοροις|ασκοφορον|ασκοφορος|ασκοφορου|ασκοφορους|ασκοφορω|ασκοφορων	9
ἀσπιδοπηγός	ασπιδοπηγος	Shield maker	Armaments	72990	ασπιδοπηγε|ασπιδοπηγοι|ασπιδοπηγοις|ασπιδοπηγον|ασπιδοπηγος|ασπιδοπηγου|ασπιδοπηγους|ασπιδοπηγω|ασπιδοπηγων	9
αὐλοποιός	αυλοποιος	Aulos maker	Musical Instruments	81990	αυλοποιε|αυλοποιοι|αυλοποιοις|αυλοποιον|αυλοποιος|αυλοποιου|αυλοποιους|αυλοποιω|αυλοποιων	9
αὐλοτρύπης	αυλοτρυπης	Aulos maker	Musical Instruments	81990	αυλοτρυπα|αυλοτρυπαι|αυλοτρυπαις|αυλοτρυπας|αυλοτρυπη|αυλοτρυπηα|αυλοτρυπηη|αυλοτρυπην|αυλοτρυπηου|αυλοτρυπης|αυλοτρυπηω|αυλοτρυπων	12
βάπτρια	βαπτρια	Dyer	Textiles	75120	βαπτρα|βαπτραι|βαπτραις|βαπτραν|βαπτρας|βαπτρη|βαπτρην|βαπτρης|βαπτρων	9
βαφεύς	βαφευς	Dyer	Textiles	75120	βαφεα|βαφεας|βαφει|βαφεις|βαφευ|βαφευς|βαφευσι|βαφεων|βαφεως	9
βελονοπώλης	βελονοπωλης	Needle seller	Miscellaneous Retail	45190	βελονοπωλα|βελονοπωλαι|βελονοπωλαις|βελονοπωλας|βελονοπωλη|βελονοπωληα|βελονοπωληη|βελονοπωλην|βελονοπωληου|βελονοπωλης|βελονοπωληω|βελονοπωλων	12
βελονόπωλις	βελονοπωλις	Needle seller	Miscellaneous Retail	45190	βελονοπωλαι|βελονοπωλαις|βελονοπωλας|βελονοπωλη|βελονοπωλην|βελονοπωλης|βελονοπωλων	7
βιβλιαγράφος	βιβλιαγραφος	scrivener	Writing and the Book Trade	30120	βιβλιαγραφε|βιβλιαγραφοι|βιβλιαγραφοις|βιβλιαγραφον|βιβλιαγραφος|βιβλιαγραφου|βιβλιαγραφους|βιβλιαγραφω|βιβλιαγραφων	9
βιβλιοπώλης	βιβλιοπωλης	Bookseller	Writing and the Book Trade	45190	βιβλιοπωλα|βιβλιοπωλαι|βιβλιοπωλαις|βιβλιοπωλας|βιβλιοπωλη|βιβλιοπωληα|βιβλιοπωληη|βιβλιοπωλην|βιβλιοπωληου|βιβλιοπωλης|βιβλιοπωληω|βιβλιοπωλων	12
βουκάπηλος	βουκαπηλος	Cattle Dealer	Agriculture, Animal Husbandry	62210	βουκαπηλε|βουκαπηλοι|βουκαπηλοις|βουκαπηλον|βουκαπηλος|βουκαπηλου|βουκαπηλους|βουκαπηλω|βουκαπηλων	9
βούκολος	βουκολος	Cowherd	Agriculture, Animal Husbandry	61110	βουκολε|βουκολοι|βουκολοις|βουκολον|βουκολος|βουκολου|βουκολους|βουκολω|βουκολων	9
βουφορβός	βουφορβος	Cowherd	Agriculture, Animal Husbandry	61110	βουφορβε|βουφορβοι|βουφορβοις|βουφορβον|βουφορβος|βουφορβου|βουφορβους|βουφορβω|βουφορβων	9
βυρσοδέψης	βυρσοδεψης	Tanner	Leatherwork and Footwear	76120	βυρσοδεψα|βυρσοδεψαι|βυρσοδεψαις|βυρσοδεψας|βυρσοδεψη|βυρσοδεψηα|βυρσοδεψηη|βυρσοδεψην|βυρσοδεψηου|βυρσοδεψης|βυρσοδεψηω|βυρσοδεψων	12
βυρσοπώλης	βυρσοπωλης	Leather seller	Leatherwork and Footwear	45190	βυρσοπωλα|βυρσοπωλαι|βυρσοπωλαις|βυρσοπωλας|βυρσοπωλη|βυρσοπωληα|βυρσοπωληη|βυρσοπωλην|βυρσοπωληου|βυρσοπωλης|βυρσοπωληω|βυρσοπωλων	12
γελγοπώλης	γελγοπωλης	Garlic Seller	Food Preparation and Retail	45190	γελγοπωλα|γελγοπωλαι|γελγοπωλαις|γελγοπωλας|γελγοπωλη|γελγοπωληα|γελγοπωληη|γελγοπωλην|γελγοπωληου|γελγοπωλης|γελγοπωληω|γελγοπωλων	12
γεωμέτρης	γεωμετρης	Surveyor	Construction	6145	γεωμετρα|γεωμετραι|γεωμετραις|γεωμετρας|γεωμετρη|γεωμετρηα|γεωμετρηη|γεωμετρην|γεωμετρηου|γεωμετρης|γεωμετρηω|γεωμετρων	12
γεωργός	γεωργος	Farmer	Agriculture, Animal Husbandry	61110	γεωργε|γεωργοι|γεωργοις|γεωργον|γεωργος|γεωργου|γεωργους|γεωργω|γεωργων	9
γναφαλλουφάντης	γναφαλλουφαντης	Flock weaver	Textiles	75990	γναφαλλουφαντα|γναφαλλουφανται|γναφαλλουφανταις|γναφαλλουφαντας|γναφαλλουφαντη|γναφαλλουφαντηα|γναφαλλουφαντηη|γναφαλλουφαντην|γναφαλλουφαντηου|γναφαλλουφαντης|γναφαλλουφαντηω|γναφαλλουφαντων	12
γναφεύς	γναφευς	Fuller	Textiles	75140	γναφεα|γναφεας|γναφει|γναφεις|γναφευ|γναφευς|γναφευσι|γναφεων|γναφεως	9
γραμματικός	γραμματικος	Grammarian	Literature and Scholarship	13920	γραμματικε|γραμματικοι|γραμματικοις|γραμματικον|γραμματικος|γραμματικου|γραμματικους|γραμματικω|γραμματικων	9
γραμματιστής	γραμματιστης	Elementary school teacher	Education and Training	13130	γραμματιστα|γραμματισται|γραμματισταις|γραμματιστας|γραμματιστη|γραμματιστηα|γραμματιστηη|γραμματιστην|γραμματιστηου|γραμματιστης|γραμματιστηω|γραμματιστων	12
γραφεύς	γραφευς	Scrivener/copyist	Writing and the Book Trade	30120	γραφεα|γραφεας|γραφει|γραφεις|γραφευ|γραφευς|γραφευσι|γραφεων|γραφεως	9
δαιδοσχίστης	δαιδοσχιστης	Pine torch cutter	Fuel and Raw Materials	71990	δαιδοσχιστα|δαιδοσχισται|δαιδοσχισταις|δαιδοσχιστας|δαιδοσχιστη|δαιδοσχιστηα|δαιδοσχιστηη|δαιδοσχιστην|δαιδοσχιστηου|δαιδοσχιστης|δαιδοσχιστηω|δαιδοσχιστων	12
δακτυλιογύφος	δακτυλιογυφος	Gem engraver	Jewellery	88120	δακτυλιογυφε|δακτυλιογυφοι|δακτυλιογυφοις|δακτυλιογυφον|δακτυλιογυφος|δακτυλιογυφου|δακτυλιογυφους|δακτυλιογυφω|δακτυλιογυφων	9
δακτυλιουργός	δακτυλιουργος	Ring maker	Jewellery	88120	δακτυλιουργε|δακτυλιουργοι|δακτυλιουργοις|δακτυλιουργον|δακτυλιουργος|δακτυλιουργου|δακτυλιουργους|δακτυλιουργω|δακτυλιουργων	9
δαφνοπώλης	δαφνοπωλης	Laurel seller	Miscellaneous Retail	45190	δαφνοπωλα|δαφνοπωλαι|δαφνοπωλαις|δαφνοπωλας|δαφνοπωλη|δαφνοπωληα|δαφνοπωληη|δαφνοπωλην|δαφνοπωληου|δαφνοπωλης|δαφνοπωληω|δαφνοπωλων	12
δειπνοποιός	δειπνοποιος	Caterer	Food Preparation and Retail	51190	δειπνοποιε|δειπνοποιοι|δειπνοποιοις|δειπνοποιον|δειπνοποιος|δειπνοποιου|δειπνοποιους|δειπνοποιω|δειπνοποιων	9
διδάσκαλος	διδασκαλος	Teacher	Education and Training	13130	διδασκαλε|διδασκαλοι|διδασκαλοις|διδασκαλον|διδασκαλος|διδασκαλου|διδασκαλους|διδασκαλω|διδασκαλων	9
δικτυοπλόκος	δικτυοπλοκος	Net maker	Cordage and Basketry	71990	δικτυοπλοκε|δικτυοπλοκοι|δικτυοπλοκοις|δικτυοπλοκον|δικτυοπλοκος|δικτυοπλοκου|δικτυοπλοκους|δικτυοπλοκω|δικτυοπλοκων	9
