Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
fabricator,oris,,,male,Petrikovits 1981a,97145,Miscellaneous Services,,"manufacturer, an artificer, framer, forger, contriver, fabricator"
fabricensis,ensis,,fabricensis,male,Waltzing - provinces,83110,Metal-Working,,an armorer
fabriciensis,ensis,,,male,Petrikovits 1981a,83110,Metal-Working,,an armorer
fabriciensius,i,,,male,Petrikovits 1981b,83110,Metal-Working,,an armorer
fabriciesis,esis,,,male,Petrikovits 1981a,83110,Metal-Working,,an armorer
factor,oris,,,male,Petrikovits 1981a,77920,Food-Production,Food production,an oil-presser
faenarius,i,,faenarius,male,Waltzing - Rome,49020,Finance,,one who lends money on interest
falancarius,i,,falancarius,male,Waltzing - Rome,96110,Transport,Land transport,one who carries burdens with the aid of a long pole
falcarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,a sickle- or scythe-maker
farmacopola,ae,,farmacopola,male,Waltzing - provinces,6350,Miscellaneous Services,,druggist
ferramentarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,"a maker of iron implements, tools"
ferrariarius,i,,,male,Petrikovits 1981a,7115,Metal-Working,,one who works in iron-mines
ferrarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,iron smith
ferrius,i,,,male,Petrikovits 1981a,89210,Metal-Working,,worker with iron
fictiliarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,potter
fictor,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
fidicinus,i,,fidicinus,male,Waltzing - Rome,17140,Performing Arts,,lute player
figelus,i,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
figlinator,oris,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
figlus,i,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
figularius,i,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
figulator,oris,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
figulus,i,,figulus,male,Waltzing - Rome,89210,Household Goods,,a potter
figurator,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"one who forms or fashions, sculptor"
finctor,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
flammarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,"read colour dyer, producer"
flammearius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,"read colour dyer, producer"
flator,oris,,,male,Petrikovits 1981a,72510,Metal-Working,,"a blower of a windinstrument, caster"
flaturarius,i,,,male,Petrikovits 1981a,72510,Metal-Working,,a caster
florentinarius,i,,,male,Petrikovits 1981a,,Unclassified,,uncertain
focarius,i,,focarius,male,Waltzing - provinces,53130,Food-Production,Food processing,"a kitchen-boy; a kitchen-maid, cook"
fontanus,i,,fontanus,male,Waltzing - provinces,99910,Water-Management,,"of a spring, from a fountain, spring, worker?"
forensis,is,,forensis,male,Waltzing - provinces,12110,Managerial,,"of or belonging to the market or forum, public, trader, a public pleader, advocate"
fornacator,oris,,,male,Petrikovits 1981a,99910,Water-Management,,"the heater of a bath-furnace, a bath-heater"
fosor,oris,,,male,Petrikovits 1981a,97145,Building,,"a digger, delver, ditcher"
fossor,oris,,,male,Petrikovits 1981a,98620,Building,,"a digger, delver, ditcher"
frenarius,i,,,male,Petrikovits 1981a,80190,Miscellaneous Services,,"bridle maker, handler"
frixor,oris,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"roaster, fryer, freezer, uncertain"
fructuarius,i,,fructuarius,male,Waltzing - Rome,53130,Food-Production,Food processing,that serves for laying up the fruits in
frumentarius,i,,,male,EDH/EDCS,45130,Retail,,trader with corn
frygio,onis,,,male,Petrikovits 1981a,88090,Metal-Working,,goldsticker
fullo,onis,,fullo,male,Waltzing - Rome,75635,Clothing,,a cloth-fuller
funerarius,i,,,male,Petrikovits 1981a,59220,Death-care sector,,mortician
funerator,oris,,,male,Petrikovits 1981a,59220,Death-care sector,,mortician
furnaria,ae,,,female,Petrikovits 1981a,53130,Food-Production,Food processing,"female baker, stove builder"
furnarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"baker, stove builder"
fusor,oris,,,male,Petrikovits 1981a,72510,Metal-Working,,"metal moulder, pourer"
gallicarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,special shoe type maker and seller
gallinarius,i,,gallinarius,male,Waltzing - provinces,62610,Food-Production,Food production,a keeper of poultry
gaunacarius,i,,,male,Petrikovits 1981a,79220,Clothing,,furrier
gelator,oris,,,male,Petrikovits 1981a,16150,Plastic Arts,,"relief maker, carver"
gemmarius,i,,,male,Petrikovits 1981a,88030,Plastic Arts,,"gem maker, carver"
gerdius,i,,,male,Petrikovits 1981a,75440,Clothing,,weaver
gerulus,i,,gerulus,male,Waltzing - Rome,95510,Transport,Land transport,"a carrier, porter"
gisiarius,i,,gisiarius,male,Waltzing - provinces,95510,Transport,Land transport,The maker / driver of a cabriolet
gladiarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,a sword-cutler
gladiator,oris,,gladiator,male,Waltzing - Rome,18020,Performing Arts,,gladiator
glutinarius,i,,,male,Petrikovits 1981a,74190,Miscellaneous Services,,"glue boiler, glue maker"
glutinator,oris,,,male,Petrikovits 1981a,95510,Miscellaneous Services,,"a gluer together of books, a bookbinder, papyrusbinder"
grabatarius,i,,,male,Petrikovits 1981a,81120,Household Goods,,bed maker
gupsarius,i,,,male,Petrikovits 1981a,84230,Building,,plaster worker
gynaeciarius,i,,gynaeciarius,male,Waltzing - provinces,22490,Managerial,,the overseer of a seraglio
gypsarius,i,,,male,Petrikovits 1981a,99910,Building,,plaster worker
gypsoplastes,ae,,,male,Petrikovits 1981a,95510,Building,,a worker in gypsum or stucco
harenarius,i,,harenarius,male,Waltzing - provinces,18020,Performing Arts,,"A combatant in the amphitheatre, a gladiator or A teacher of the elements of arithmetic"
harundinarius,i,,,male,Petrikovits 1981a,45130,Retail,,a dealer in limed twigs
hastifer,eris,,hastifer,male,Waltzing - provinces,58340,Miscellaneous Services,,city militia
hilitor,oris,,,male,Petrikovits 1981a,62720,Food-Production,Food production,"gardener, vegetable gardener"
holitor,oris,,,male,Petrikovits 1981a,62720,Food-Production,Food production,"gardener, vegetable gardener"
horologarius,i,,,male,Petrikovits 1981a,98690,Miscellaneous Services,,clockmaker
horrearius,i,,horrearius,male,Waltzing - Rome,39140,Managerial,,the superintendent of a storehouse
hortolanus,i,,,male,Petrikovits 1981a,62740,Miscellaneous Services,,gardener
hortulanus,i,,,male,Petrikovits 1981b,62740,Miscellaneous Services,,gardener
imaginarius,i,,,male,Petrikovits 1981a,16130,Plastic Arts,,painter
impiliarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,"slipper maker, shoe maker"
inaurator,oris,,inaurator,male,Waltzing - Rome,88090,Metal-Working,,a gilder
inclusor auri et gemmarum,oris,,inclusor,male,Petrikovits 1981a,88010,Metal-Working,,"jewell maker, goldsmith"
indusiarius,i,,,male,Petrikovits 1981a,79190,Clothing,,a maker of women's under-garments
infector,oris,,,male,Petrikovits 1981a,75625,Clothing,Colour production,a dyer
inpaestator,oris,,,male,Petrikovits 1981a,88090,Plastic Arts,,metal figure maker
inpiliarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,"slipper maker, felt shoe maker"
inscriptor,oris,,,male,Petrikovits 1981a,39320,Miscellaneous Services,,"letter cutter, one who writes down"
insignarius,i,,,male,Petrikovits 1981a,16150,Plastic Arts,,an engraver ?
insignitor,oris,,,male,Petrikovits 1981a,16150,Plastic Arts,,an engraver
institor,oris,,,male,Petrikovits 1981a,45125,Retail,,"a factor, broker, huckster, hawker, peddler"
instructor,oris,,,male,Petrikovits 1981b,98690,Miscellaneous Services,,a preparer
instructor parietum,oris,,instructor,male,Petrikovits 1981a,95410,Building,,a wall preparer
interrasor,oris,,,male,Petrikovits 1981a,16150,Plastic Arts,,a filigreeworker
intestinarius,i,,,male,Petrikovits 1981a,81120,Building,Wood worker,woodworker
intestinus,i,,,male,Petrikovits 1981a,81120,Building,Wood worker,woodworker
inundatoris,is,,inundatoris,male,Waltzing - Rome,,Unclassified,,unclear
isicarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"sausage maker, butcher"
ispeclararia,ae,,,male,Petrikovits 1981b,89190,Glass-Working,,window glass maker
iumentarius,i,,iumentarius,male,Waltzing - Rome,82010,Transport,Land transport,of or belonging to draught-cattle
jumentarius,i,,jumentarius,male,Waltzing - Rome,98190,Transport,Land transport,of or belonging to draught-cattle
lactarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,food preparer with milk
lactearius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,food preparer with milk
lacunarius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,a gravedigger
lagoenaria,ae,,,female,Petrikovits 1981a,89210,Household Goods,,female potter
lagunaria,ae,,,female,Petrikovits 1981a,89210,Household Goods,,female potter
lanarius,i,,lanarius,male,Waltzing - provinces,75220,Clothing,,a worker in wool
laniarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a butcher
lanifex,icis,,,male,Petrikovits 1981a,75220,Clothing,,wool worker
lanifica,ae,,,female,Petrikovits 1981b,75220,Clothing,,female wool-spinner
lanificus,i,,,male,Petrikovits 1981a,75220,Clothing,,a wool-spinner
lanifricarius,i,,,male,Petrikovits 1981a,79690,Household Goods,,towel maker ?
lanilotor,oris,,,male,Petrikovits 1981a,75635,Clothing,,wool washer
lanio,onis,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a butcher
lanionus,i,,lanionus,male,Waltzing - provinces,53130,Food-Production,Food processing,of or belonging to a butcher
lanipendia,ae,,,male,Petrikovits 1981b,75115,Clothing,,one who weighs out wool
lanipendius,i,,,male,Petrikovits 1981a,75115,Clothing,,one who weighs out wool
lanius,i,,lanius,male,Waltzing - Rome,53130,Food-Production,Food processing,a butcher
lanternarius,i,,,male,Petrikovits 1981a,89190,Household Goods,,lamp maker
lapedarius,i,,,male,Petrikovits 1981a,82010,Building,Stone worker,stone-cutter
lapicida,ae,,,male,Petrikovits 1981a,71110,Building,Stone worker,"a quarryman, stone-cutter"
lapicidinarius,i,,,male,Petrikovits 1981a,71110,Building,Stone worker,"a quarryman, stone-cutter"
lapidarius,i,,lapidarius,male,Waltzing - provinces,82010,Building,Stone worker,stone-cutter
lapidecesor,oris,,,male,Petrikovits 1981a,71110,Building,Stone worker,"a quarryman, stone-cutter"
lapidicaesor,oris,,,male,Petrikovits 1981a,71110,Building,Stone worker,"a quarryman, stone-cutter"
lapidicida,ae,,,male,Petrikovits 1981a,71110,Building,Stone worker,"a quarryman, stone-cutter"
laquearius,i,,,male,Petrikovits 1981a,97130,Building,,"one that makes panelled ceilings, a ceiling-maker"
laterarius,i,,,male,Petrikovits 1981a,89290,Building,,a brickmaker
latomus,i,,latomus,male,Waltzing - provinces,95410,Building,Stone worker,stone-cutter
lavator,oris,,,male,Petrikovits 1981a,75635,Clothing,,a clothes-washer
lectarius,i,,,male,Petrikovits 1981a,81120,Household Goods,,a couch-maker
lecticarius,i,,lecticarius,male,Waltzing - Rome,53130,Food-Production,Food processing,a cook
lectuarius,i,,,male,Petrikovits 1981a,81120,Household Goods,,a couch-maker
legulus,i,,,male,Petrikovits 1981a,62390,Food-Production,Food production,"a gatherer, collector; esp. one who picked up the fallen olives"
lenuncularius,i,,lenuncularius,male,Waltzing - Rome,98190,Transport,Maritime/water transport,one who sails in a small vessel
levamentarius,i,,levamentarius,male,Waltzing - Rome,98190,Transport,Land transport,"unloader, transport worker"
libarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"a pastry-cook, confectioner"
libitinarius,i,,,male,Petrikovits 1981a,59220,Death-care sector,,"an undertaker, mortician"
librator,oris,,,male,Petrikovits 1981a,3010,Miscellaneous Services,,"a leveller, esp. by means of a water-level, a surveyor"
lignarius,i,,lignarius,male,Waltzing - provinces,82010,Building,Wood worker,"A worker in wood, a carpenter, joiner"
limarius,i,,,male,Petrikovits 1981a,83990,Clothing,,"file cutter, maker"
limbularius,i,,,male,Petrikovits 1981a,79690,Clothing,,"trims, ribbons, belts maker"
linarius,i,,linarius,male,Waltzing - provinces,75440,Clothing,,"a linen-weaver, dealer in linen"
lintarius,i,,lintarius,male,Waltzing - provinces,75440,Clothing,,"a linen-weaver, dealer in linen"
lintearius,i,,lintearius,male,Waltzing - Rome,94990,Transport,Maritime/water transport,"a boatman, waterman"
linteator,oris,,,male,Petrikovits 1981a,75440,Clothing,,"a linen-weaver, dealer in linen"
linteo,onis,,,male,Petrikovits 1981a,75440,Clothing,,"a linen-weaver, dealer in linen"
lintiarius,i,,lintiarius,male,Waltzing - provinces,75440,Clothing,,"a linen-weaver, dealer in linen"
lintio,onis,,,male,Petrikovits 1981a,75440,Clothing,,"a linen-weaver, dealer in linen"
lintrarius,i,,lintrarius,male,Waltzing - Rome,95155,Transport,Maritime/water transport,"a boatman, waterman"
linyfarius,i,,,male,Petrikovits 1981a,75440,Clothing,,linen weaver
linyfio,onis,,,male,Petrikovits 1981a,75440,Clothing,,linen weaver
linyfus,i,,,male,Petrikovits 1981a,75440,Clothing,,linen weaver
linypharius,i,,,male,Petrikovits 1981b,75440,Clothing,,linen weaver
linyphus,i,,,male,Petrikovits 1981b,75440,Clothing,,linen weaver
lithotomos,i,,,male,Petrikovits 1981a,95490,Building,,"stone cutter, Greek"
liticinus,i,,liticinus,male,Waltzing - Rome,17140,Performing Arts,,a player on the clarion
loclarius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,"casket maker, coffin maker"
locularius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,"casket maker, coffin maker"
lorarius,i,,,male,Petrikovits 1981a,80190,Miscellaneous Services,Military,a harness-maker
loricarius,i,,,male,Petrikovits 1981a,83110,Miscellaneous Services,Military,"maker of lorica, cuirass"
lotor,oris,,,male,Petrikovits 1981a,75635,Clothing,,a clothes-washer
lotorus,i,,lotorus,male,Waltzing - provinces,75635,Clothing,,"fuller, clening wool"
lucernarius,i,,,male,Petrikovits 1981a,84110,Household Goods,,lamp maker
lupinarius,i,,lupinarius,male,Waltzing - Rome,45130,Food-Retail,,dealers in lupines
lusorius,i,,,male,Petrikovits 1981a,95140,Plastic Arts,,"mosaicer, maker of mosaic"
lyntrarius,i,,lyntrarius,male,Waltzing - provinces,99910,Transport,Maritime/water transport,raft-maker
macellarius,i,,macellarius,male,Waltzing - provinces,53130,Food-Production,Food processing,butcher
machinarius,i,,,male,Petrikovits 1981a,95140,Building,,"a machinist, machine-builder,"
machinator,oris,,,male,Petrikovits 1981a,200,Miscellaneous Services,,"a maker of machines, a machinist, an engineer, architect"
machio,onis,,,male,Petrikovits 1981a,95140,Building,Stone worker,mason
magira,ae,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,cook
magnarius,i,,magnarius,male,Waltzing - Rome,45120,Retail,,"a dealer in gross, wholesale dealer"
malleator,oris,,,male,Petrikovits 1981a,83960,Miscellaneous Services,,"worker with hammer, coinstrucker"
malliator,oris,,,male,Petrikovits 1981a,83960,Miscellaneous Services,,"worker with hammer, coinstrucker"
manceps salinarum,ipis,,manceps,male,Waltzing - Rome,22610,Managerial,,"salt shops managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manceps thermarum,ipis,,manceps,male,Waltzing - Rome,22490,Managerial,,"bath managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manciparius,i,,manciparius,male,Waltzing - Rome,45125,Retail,,salesman
manicarius,i,,,male,Petrikovits 1981a,83990,Miscellaneous Services,,"manufacturers of manicae, bangages for gladiator sword"
manticularius,i,,manticularius,male,Waltzing - provinces,79690,Clothing,,"manufacturer of a small wallet, purse, pouch"
manulearius,i,,,male,Petrikovits 1981a,79190,Clothing,,a manufacturer of garments with long sleeves
manupretiarius,i,,,male,Petrikovits 1981a,95140,Unclassified,,"uncertain, unspecified worker, for hourly wage"
margaritarius,i,,,male,Petrikovits 1981a,45130,Retail,,"a dealer in pearls, a pearl-fisher"
marmarius,i,,,male,Petrikovits 1981a,95410,Building,Stone worker,marble worker
marmorarienses,ae,,,male,Petrikovits 1981a,98690,Building,Stone worker,marble worker
marmorarius,i,,marmorarius,male,Waltzing - Rome,95155,Building,Stone worker,marble worker
massarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,"unclear, maybe metal-worker"
materiarius,i,,,male,Petrikovits 1981a,95155,Building,Wood worker,wood-worker
medicamentarius,i,,,male,Petrikovits 1981a,6350,Miscellaneous Services,,"a druggist, apothecary"
medicator,oris,,medicator,male,Waltzing - provinces,6310,Miscellaneous Services,,a physician
medicus,i,,medicus,male,Waltzing - Rome,6310,Miscellaneous Services,,a surgeon
membranarius,i,,,male,Petrikovits 1981a,73490,Miscellaneous Services,,a parchment-maker
mensor,oris,,mensor,male,Waltzing - Rome,3020,Miscellaneous Services,,"a measurer, surveyor"
mercator,oris,,mercator,male,Waltzing - Rome,45125,Retail,,trader
mesor,oris,,,male,Petrikovits 1981a,3020,Miscellaneous Services,,"a measurer, surveyor"
metallarius,i,,metallarius,male,Waltzing - provinces,7115,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metallicus,i,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metator,oris,,,male,Petrikovits 1981a,3020,Miscellaneous Services,,"one who marks off, fixer of boundaries, surveyor"
mimus,i,,mimus,male,Waltzing - Rome,17320,Performing Arts,,mime
miniarius,i,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,a cinnabar miner (mineral) for dying
molator,oris,,,male,Petrikovits 1981a,77120,Food-Production,Food production,miller
molendarius,i,,molendarius,male,Waltzing - Rome,77120,Food-Production,Food production,miller
molendinarius,i,,,male,Petrikovits 1981a,77120,Food-Production,Food production,worker in a mill
molinarius,i,,,male,Petrikovits 1981a,77120,Food-Production,Food production,miller
molitor,oris,,,male,Petrikovits 1981a,77120,Food-Production,Food production,miller
molochinarius,i,,,male,Petrikovits 1981a,79190,Clothing,,A seller of mallow colored garments
molocinarius,i,,,male,Petrikovits 1981a,79190,Clothing,,A seller of mallow colored garments
monetarius,i,,monetarius,male,Waltzing - Rome,83960,Finance,,a master of the mint
montanarius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,grave digger
moritex,icis,,,male,Petrikovits 1981a,,Unclassified,,unclear
mulionus,i,,mulionus,male,Waltzing - provinces,95155,Transport,Land transport,of a mule-driver
multiciarius,i,,,male,Petrikovits 1981a,79190,Clothing,,"a soft dress, delicate garment seller"
murilegulus,i,,murilegulus,male,Waltzing - provinces,75625,Clothing,Colour production,one who gathers or fishes for the purple-fish
murobatharius,i,,,male,Petrikovits 1981a,45130,Retail,,"unclear, possible dealer with luxury items"
musaearius,i,,,male,Petrikovits 1981a,94990,Plastic Arts,,"mosaicer, maker of mosaic"
musarius,i,,,male,Petrikovits 1981a,94990,Plastic Arts,,"mosaicer, maker of mosaic"
museiarius,i,,,male,Petrikovits 1981a,95445,Plastic Arts,,"mosaicer, maker of mosaic"
musivarius,i,,,male,Petrikovits 1981a,16190,Unclassified,,unclear
myrepsicus,i,,,male,Petrikovits 1981a,95445,Miscellaneous Services,,manufacturer of ointments and oils
myrrepsius,i,,,male,Petrikovits 1981a,98130,Miscellaneous Services,,manufacturer of ointments and oils
nauclerus,i,,nauclerus,male,Waltzing - provinces,98130,Transport,Maritime/water transport,"a shipowner, a ship-master, skipper"
nauicularius,i,,nauicularius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
naupegiarius,i,,,male,Petrikovits 1981a,98130,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
naupegus,i,,,male,Petrikovits 1981a,98190,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
nauta,ae,,nauta,male,Waltzing - Rome,98130,Transport,Maritime/water transport,"a sailor, seaman, mariner, merchant"
nauticarius,i,,nauticarius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,a shipmaster
navalis,is,,,male,Petrikovits 1981a,98190,Transport,Maritime/water transport,"sailors, seamen"
navicularius,i,,navicularius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
navigans,ntis,,navigans,male,Waltzing - Rome,99910,Transport,Maritime/water transport,one who sails in a small vessel
navigator,oris,,navigator,male,Waltzing - Rome,9500,Transport,Maritime/water transport,sailor
navigiarius,i,,navigiarius,male,Waltzing - Rome,99990,Transport,Maritime/water transport,one who sails in a small vessel
negotians,ntis,,negotians,male,Waltzing - Rome,45125,Retail,,trader
negotians,ntis,ferrarius,,male,EDH/EDCS,45125,Retail,,trader of metal
negotians,ntis,materiarius,,male,EDH/EDCS,45125,Retail,,trader of timber
negotiator,oris,cervesarius,,male,EDH/EDCS,45130,Retail,,beer trader ?
negotiator,oris,vestiarius,,male,EDH/EDCS,45130,Retail,,clothes trader
negotiator,oris,manticularius,,male,EDH/EDCS,45130,Retail,,coat trader
negotiator,oris,vascularius,,male,EDH/EDCS,45130,Retail,,goldsmith and silver trader
negotiator,oris,eborarius,,male,EDH/EDCS,45130,Retail,,ivory trader
negotiator,oris,lintiarius,,male,EDH/EDCS,45130,Retail,,linen trader
negotiator,oris,paenularius,,male,EDH/EDCS,45130,Retail,,mantle trader
negotiator,oris,sagarius,,male,EDH/EDCS,45130,Retail,,mantle trader
negotiator,oris,sagarius et pellicarius,,male,EDH/EDCS,45130,Retail,,mantle trader
negotiator,oris,marmorarius,,male,EDH/EDCS,45130,Retail,,marble trader
negotiator,oris,ferrarius,,male,EDH/EDCS,45130,Retail,,metal trader
negotiator,oris,nummularius,,male,EDH/EDCS,45130,Retail,,"money trader, money distributor, banker"
negotiator,oris,olearius,,male,EDH/EDCS,45130,Retail,,oil trader
negotiator,oris,,negotiator,male,Waltzing - Rome,45130,Retail,,"one who does business by wholesale, a wholesale dealer, a banker, a factor"
negotiator,oris,margaritarius,,male,EDH/EDCS,45130,Retail,,pearl trader
negotiator,oris,cretarius,,male,EDH/EDCS,45130,Retail,,pottery trader
negotiator,oris,salarius,,male,EDH/EDCS,45130,Retail,,salt trader
negotiator,oris,salsarius,,male,EDH/EDCS,45130,Retail,,salted food trader
negotiator,oris,sericarius,,male,EDH/EDCS,45130,Retail,,silk trader
negotiator,oris,materiarius,,male,EDH/EDCS,45130,Retail,,timber trader
negotiator,oris,boarius,,male,EDH/EDCS,45130,Retail,,trader with cattle
negotiator,oris,frumentarius,,male,EDH/EDCS,45130,Retail,,trader with corn
negotiator,oris,allecarius,,male,EDH/EDCS,45130,Retail,,trader with fish-sauce
negotiator,oris,perticarius,negotiator,male,EDH/EDCS,45130,Retail,,trader with poles
negotiator,oris,gladiarius,,male,EDH/EDCS,45130,Retail,,trader with swords
negotiator,oris,seplasiarius,negotiator,male,EDH/EDCS,45130,Retail,,"unguent from Capua, perfume trader"
negotiator,oris,salsamentarius et vinarius,,male,EDH/EDCS,45130,Retail,,wine trader
negotiator,oris,vinarius,,male,EDH/EDCS,45130,Retail,,wine trader
negotiator,oris,lanarius,,male,EDH/EDCS,45130,Retail,,wool trader
negotiator,oris,iuvencarius,negotiator,male,EDH/EDCS,45130,Retail,,young cattle trader
negotiator artis cretariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,pottery trader
negotiator artis cretariae et vestiariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,pottery trader
negotiator artis macellariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with butcher's products
negotiator artis prossariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with textile products
negotiator artis purpurariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with textile purple dyed products
negotiator artis ratiariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with rafts ?
negotiator artis vestiariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with textiles
negotiator artis vestiariae et lintiariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with textiles
negotiator campi pecuarii,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with cattle
negotiator cellarum vinarium,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with wine
negotiator frumentariae et legumenariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with vegetables and corn
negotiator laudecenarii,oris,,negotiator,male,EDH/EDCS,45130,Retail,,trader with uncertain meaning ?
negotiator penoris et vinorum,oris,,negotiator,male,EDH/EDCS,45130,Retail,,wine trader
negotiator salsari leguminari,oris,,negotiator,male,EDH/EDCS,45130,Retail,,salted vegetables trader
negotiator suariae et pecuariae,oris,,negotiator,male,EDH/EDCS,45130,Retail,,cattle trader
negotiator vini,oris,,negotiator,male,EDH/EDCS,45130,Retail,,wine trader
netrix,icis,,negotiator,female,Petrikovits 1981a,88090,Metal-Working,,female gold weaver
nitionus,i,,nitionus,male,Waltzing - provinces,61110,Food-Production,Food production,tax-farmer
nummularius,i,,nummularius,male,Waltzing - Rome,33150,Finance,,a money-changer
numularius,i,,,male,Petrikovits 1981a,33150,Finance,,a money-changer
oculariarius,i,,,male,Petrikovits 1981a,88090,Plastic Arts,,"artisan, glass eye maker for statues"
ocularius,i,,,male,EDH/EDCS,6310,Miscellaneous Services,,"eye doctor, eye related discipline"
offarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"dealing with morsels: cocus, a maker of minced meat "
offector,oris,,,male,Petrikovits 1981a,75625,Clothing,Colour production,dyer
offectorus,i,,offectorus,male,Waltzing - provinces,75625,Clothing,Colour production,dye maker
officinator,oris,,,male,Petrikovits 1981a,21110,Miscellaneous Services,,"one who keeps a workshop, a master-workman, an artificer, artist"
officinatrix,icis,,,female,Petrikovits 1981a,21110,Miscellaneous Services,,"female one who keeps a workshop, a master-workman, an artificer, artist"
olarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,potter
oleareus,i,,,male,Petrikovits 1981a,77920,Food-Production,Food production,"oil-maker, olive oil dealer"
olearius,i,,olearius,male,Waltzing - Rome,77920,Food-Production,Food production,"oil-maker, olive oil dealer"
olitor,oris,,olitor,male,Waltzing - provinces,62720,Food-Production,Food production,a kitchen-gardener
ollarius,i,,,male,Petrikovts 1981b,89210,Household Goods,,potter
operarius,i,,,male,Petrikovits 1981a,95140,Miscellaneous Services,,"a laborer, workman, operative"
opifex,icis,,opifex,male,Waltzing - provinces,95140,Building,,"a worker, workman, mechanic, artisan"
orchestopolarius,i,,orchestopolarius,male,Waltzing - provinces,17230,Performing Arts,,"a juggler, dancer"
ornator,oris,,,male,Petrikovits 1981a,57090,Miscellaneous Services,,"An adorner, dresser"
ornatrix,icis,,,female,Petrikovits 1981a,57090,Miscellaneous Services,,"female adorner, dresser"
paenularius,i,,,male,Petrikovits 1981a,79190,Clothing,,cloak or mantle maker and seller
palangarius,i,,palangarius,male,Waltzing - Rome,53240,Food-Retail,,wine bearer
palariacus,i,,,male,Petrikovits 1981a,,Unclassified,,unclear
panarius,i,,,male,Petrikovits 1981a,45130,Food-Retail,,a bread-seller
panchrestiarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a confectioner
pancrestarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a confectioner
panifex,icis,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"a breadmaker, baker"
panificus,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"a breadmaker, baker"
pantapolus,i,,pantapolus,male,Waltzing - Rome,45125,Retail,,greek trader
